=== lm_v3_chunked (2-block, chunked sampling from full optim.rail) ===
corpus chars=10901  vocab size=94
corpus encoded to arr (10901 ids)
seq_len=512  max offset=10388
[tgl_init] dylib=$HOME/projects/rail/tools/metal/libtensor_gpu.dylib src_path=$HOME/projects/rail/tools/metal/tensor_gpu.metal
[tgl_init] OK — 38 functions
initial loss (on one sampled chunk)=8.62960223571262  uniform=4.54329478227
training 10000 steps...
step 382  lr=0.0199599863898704  loss=3.19485643611174
step 383  lr=0.0199597022933266  loss=2.30031565387555
step 384  lr=0.0199594171938411  loss=3.3898100564504
step 385  lr=0.0199591310914425  loss=3.52114942458809
step 386  lr=0.0199588439861597  loss=2.56158605581045
step 387  lr=0.0199585558780216  loss=2.49476478148113
step 388  lr=0.0199582667670572  loss=2.84185209263865
step 389  lr=0.0199579766532956  loss=3.29264927285544
step 390  lr=0.019957685536766  loss=3.00887594491008
step 391  lr=0.0199573934174978  loss=3.34084257872034
step 392  lr=0.0199571002955203  loss=2.83275180952854
step 393  lr=0.019956806170863  loss=3.37505769571728
step 394  lr=0.0199565110435557  loss=2.40167771203535
step 395  lr=0.019956214913628  loss=2.33785632669424
step 396  lr=0.0199559177811097  loss=3.25627955606072
step 397  lr=0.0199556196460308  loss=2.62892122060901
step 398  lr=0.0199553205084212  loss=3.2153389418185
step 399  lr=0.0199550203683112  loss=2.44041588184352
step 400  lr=0.0199547192257308  loss=2.29846650506407
step 401  lr=0.0199544170807106  loss=2.40970278001914
step 402  lr=0.0199541139332807  loss=3.4249600547805
step 403  lr=0.0199538097834719  loss=2.1981641081074
step 404  lr=0.0199535046313147  loss=2.52882071674252
step 405  lr=0.0199531984768399  loss=2.26243286822852
step 406  lr=0.0199528913200782  loss=2.45808801317534
step 407  lr=0.0199525831610607  loss=3.15918934773212
step 408  lr=0.0199522739998183  loss=2.54410611578455
step 409  lr=0.0199519638363822  loss=2.18879642920714
step 410  lr=0.0199516526707836  loss=2.21450906179188
step 411  lr=0.0199513405030539  loss=2.60238956638041
step 412  lr=0.0199510273332244  loss=3.36644790028545
step 413  lr=0.0199507131613268  loss=3.4577456075737
step 414  lr=0.0199503979873926  loss=2.31697901513288
step 415  lr=0.0199500818114536  loss=2.23837702183821
step 416  lr=0.0199497646335416  loss=3.1915141871463
step 417  lr=0.0199494464536887  loss=2.95560926601426
step 418  lr=0.0199491272719267  loss=2.15801921270633
step 419  lr=0.0199488070882879  loss=3.24138055163121
step 420  lr=0.0199484859028045  loss=2.15445837771584
step 421  lr=0.0199481637155088  loss=2.90135201224168
step 422  lr=0.0199478405264333  loss=3.12963267568502
step 423  lr=0.0199475163356106  loss=2.16098185472915
step 424  lr=0.0199471911430732  loss=2.21489004091022
step 425  lr=0.0199468649488539  loss=3.30895606750657
step 426  lr=0.0199465377529857  loss=2.09832202507897
step 427  lr=0.0199462095555013  loss=2.15063268403793
step 428  lr=0.0199458803564339  loss=2.1295018579483
step 429  lr=0.0199455501558166  loss=3.18193253423282
step 430  lr=0.0199452189536827  loss=2.24278891071522
step 431  lr=0.0199448867500656  loss=3.1910581040512
step 432  lr=0.0199445535449986  loss=2.73286017341351
step 433  lr=0.0199442193385153  loss=3.03838390670247
step 434  lr=0.0199438841306494  loss=3.06982285483966
step 435  lr=0.0199435479214347  loss=2.18842103742383
step 436  lr=0.0199432107109049  loss=3.10018911420958
step 437  lr=0.0199428724990941  loss=3.2043162874978
step 438  lr=0.0199425332860363  loss=3.02132499478777
step 439  lr=0.0199421930717657  loss=3.31534190763826
step 440  lr=0.0199418518563165  loss=2.06411345082867
step 441  lr=0.0199415096397232  loss=2.14497741608163
step 442  lr=0.01994116642202  loss=2.17157913428984
step 443  lr=0.0199408222032417  loss=2.31801925088617
step 444  lr=0.0199404769834228  loss=3.24354935778504
step 445  lr=0.0199401307625982  loss=2.40978520079174
step 446  lr=0.0199397835408027  loss=2.56795055834062
